frame,mpjpe_mean,mpjpe_std,pampjpe_mean,pampjpe_std,count,mmwave_points_mean,loc_err_mean,centroid_err_mean
97,50.947330,40.900749,33.467728,15.898994,108,30.203704,0.054050,1.228020
98,48.687515,38.554825,31.755564,16.129658,108,29.731481,0.051576,1.225917
99,49.360508,42.785172,30.791695,15.455737,108,29.490741,0.055378,1.222343
100,49.334587,39.468349,31.125351,15.616247,108,28.657407,0.052759,1.223162
101,49.855618,37.226368,32.404453,16.056837,108,28.129630,0.054627,1.225704
102,49.946487,35.043911,32.984264,16.625195,108,27.990741,0.053364,1.228004
103,49.171982,37.502506,33.017399,18.412390,108,28.472222,0.054088,1.228575
104,49.230755,41.716217,31.521437,18.216591,108,29.620370,0.055405,1.225257
105,51.783699,43.733749,34.596664,23.481123,108,30.546296,0.059247,1.226576
106,48.532219,35.792114,31.441940,15.637393,108,31.888889,0.050485,1.230827
107,49.643143,39.267899,31.941811,15.259963,108,32.509259,0.053524,1.233800
108,51.270943,37.657402,32.520687,14.741097,108,32.000000,0.055722,1.231963
109,50.292839,34.592258,31.466326,14.593580,108,30.388889,0.057412,1.226657
110,47.950634,32.426846,31.381510,14.821616,108,29.296296,0.059811,1.219454
111,50.473598,34.659626,31.754610,17.125160,108,28.555556,0.060577,1.220692
112,49.800262,32.591633,32.908966,20.747358,108,28.259259,0.063683,1.225074
113,48.857227,30.298668,31.790693,19.509838,108,29.157407,0.088520,1.223004
114,48.311466,28.476704,31.845572,16.002298,108,30.083333,0.087373,1.221089
115,48.619244,29.713600,31.781637,16.518803,108,31.074074,0.085134,1.223368
116,46.126945,27.209467,30.335241,14.638966,108,31.018519,0.081237,1.220885
117,83.236656,390.379547,32.403469,19.885187,108,30.925926,0.087313,1.254428
118,82.692192,396.930603,31.347143,20.626774,108,31.027778,0.086095,1.258351
119,83.844772,398.744659,31.877495,20.311581,108,30.712963,0.089480,1.256033
120,76.159752,313.499939,31.795353,21.333260,108,30.194444,0.080382,1.240684
121,53.902912,93.030212,31.543177,16.045780,108,30.527778,0.054232,1.219951
122,50.735752,57.490437,31.908163,14.667304,108,31.074074,0.052227,1.225452
123,53.398342,62.514702,32.719921,14.589373,108,31.324074,0.051250,1.232857
124,51.781818,48.713005,34.249039,21.211105,108,31.564815,0.045639,1.233744
125,47.047066,33.991512,30.708996,15.625875,108,31.722222,0.050011,1.229485
126,48.238522,34.530464,32.031418,17.865835,108,31.037037,0.051851,1.220222
127,48.277340,33.111340,31.639610,16.344425,108,30.500000,0.052050,1.221854
128,49.214241,34.551033,32.769985,16.468678,108,29.231481,0.059629,1.222879
129,47.661934,34.895309,31.035959,15.604259,108,28.814815,0.054486,1.224173
130,48.829803,33.620373,31.880886,14.891570,108,28.777778,0.054216,1.224518
131,49.552681,34.346188,32.326160,17.386932,108,29.287037,0.052756,1.224034
132,46.936863,29.113585,31.864954,15.845057,108,29.787037,0.050114,1.217575
133,47.638988,29.484085,30.778126,14.684103,108,30.342593,0.056897,1.220676
134,46.046062,27.655476,31.397694,14.116256,108,30.240741,0.057378,1.227386
135,48.862759,30.502939,32.258816,14.725352,108,30.685185,0.057471,1.230343
136,44.479496,27.306587,29.844376,14.709362,108,29.870370,0.057645,1.230656
137,48.102318,27.091328,30.488924,14.332907,108,29.138889,0.054707,1.228431
138,46.290268,26.467918,30.276867,13.440632,108,29.657407,0.051339,1.226300
139,47.497128,25.032490,30.958597,11.879055,108,30.000000,0.052650,1.225737
140,47.615990,27.635277,30.194040,11.813928,108,30.259259,0.056073,1.226586
141,47.105556,28.786049,31.646553,14.689785,108,31.703704,0.053589,1.222843
142,47.951832,27.693487,31.590410,16.038965,108,32.277778,0.054222,1.221161
143,47.095493,28.418907,30.442678,12.920224,108,31.657407,0.056302,1.218492
144,45.540874,27.180290,29.348284,12.738409,108,31.935185,0.055971,1.216938
145,46.552250,24.518984,30.312883,12.602268,108,30.907407,0.054493,1.222398
146,46.863945,25.435551,31.354691,12.183015,108,30.370370,0.056832,1.225335
147,48.050686,26.597603,30.670809,10.869611,108,29.916667,0.054581,1.225101
148,47.391525,27.641672,30.184563,11.813631,108,30.537037,0.057995,1.225380
149,47.190987,25.973309,31.020042,11.808281,108,30.490741,0.054619,1.225470
150,47.376129,27.101002,31.679520,15.020753,108,31.166667,0.054428,1.226946
151,48.284351,28.691076,32.822479,17.562387,108,31.564815,0.061525,1.228195
152,48.389736,31.495018,33.597260,27.030024,108,32.120370,0.056305,1.229119
153,49.441902,27.946102,33.303528,15.601683,108,32.037037,0.054207,1.230651
154,46.951191,26.388142,31.015373,13.755205,108,31.824074,0.048430,1.228190
155,46.847202,25.832075,32.002796,14.068034,108,31.620370,0.050630,1.228298
156,46.924107,26.313467,31.902994,15.402595,108,31.277778,0.050876,1.228494
157,47.611698,25.705172,31.797388,14.857425,108,31.101852,0.053971,1.229982
158,46.281197,23.867218,30.452206,11.474826,108,30.564815,0.053918,1.228730
159,46.792759,25.381151,31.663881,12.659130,108,30.888889,0.054851,1.223531
160,47.640835,24.885824,33.277054,15.233228,108,30.120370,0.052994,1.223678
161,48.055805,26.069895,33.054062,16.366184,108,29.527778,0.051592,1.221279
162,50.704304,27.281292,33.880341,17.559399,108,29.388889,0.049941,1.219285
163,48.310947,27.984278,31.470753,14.242510,108,29.703704,0.049463,1.220014
164,46.547981,23.848885,30.720095,12.861996,108,29.092593,0.049755,1.221085
165,47.399540,26.679441,30.474222,12.857421,108,29.888889,0.046993,1.220318
166,47.561134,27.948509,30.605209,14.310880,108,30.675926,0.051645,1.221674
167,47.071377,25.419617,30.817163,13.403864,108,31.287037,0.054307,1.226538
168,45.259380,23.357752,30.419775,11.689153,108,31.796296,0.052968,1.227538
169,47.147625,24.911077,31.415388,13.928931,108,32.240741,0.057038,1.227432
170,45.545387,24.107111,29.379324,11.740221,108,32.472222,0.058058,1.229165
171,46.146736,24.548639,31.066505,10.999344,108,31.583333,0.055339,1.225628
172,45.802029,25.997658,31.176294,13.819112,108,30.750000,0.055203,1.225289
173,45.236469,25.951212,29.951368,13.191601,108,29.611111,0.054247,1.222505
174,46.664249,27.124483,30.242359,12.859285,108,28.879630,0.054063,1.218530
175,46.060970,26.413486,32.376465,16.305363,108,28.194444,0.052375,1.219366
176,46.744125,26.132172,32.259235,16.112825,108,28.583333,0.057742,1.223504
177,48.042568,27.329664,31.426510,11.645141,108,28.564815,0.057532,1.223613
178,46.544415,25.867310,30.338301,11.130983,108,30.277778,0.058681,1.223957
179,45.610931,24.263754,30.789648,12.282388,108,31.000000,0.058814,1.223784
180,44.957291,22.392181,30.925999,12.809414,108,30.824074,0.062136,1.218515
181,46.074413,27.897438,31.585424,25.238361,108,31.370370,0.059960,1.220971
182,46.559391,26.059040,30.317720,14.285849,108,31.648148,0.061722,1.222039
183,46.335571,24.618738,30.913256,13.325083,108,30.231481,0.057861,1.223893
184,47.337818,26.034536,30.444887,11.891714,108,30.629630,0.056655,1.223206
185,47.998798,25.814772,31.415388,12.136378,108,31.194444,0.063163,1.221121
186,48.412846,26.166847,31.761152,14.158116,108,30.870370,0.075380,1.220289
187,47.252167,23.496197,32.243702,14.237124,108,30.879630,0.057401,1.222178
188,47.648506,24.126524,32.243336,13.098056,108,31.351852,0.057118,1.223189
189,47.823162,26.839968,31.974569,15.705563,108,30.777778,0.060170,1.224792
190,48.143032,27.122707,32.689106,19.062515,108,30.472222,0.051006,1.221739
191,46.945671,23.894590,30.609352,11.839870,108,30.296296,0.054364,1.220641
192,47.540672,26.708952,30.514214,14.238111,108,30.157407,0.055995,1.219393
193,46.157131,27.244576,29.787745,14.194860,108,29.333333,0.055276,1.217037
194,48.081867,25.803572,30.413416,11.907481,108,29.287037,0.060995,1.218044
195,47.553444,26.625700,31.606018,14.266894,108,29.472222,0.056715,1.219737
196,46.639072,25.045982,31.303982,13.062963,108,29.648148,0.056952,1.219740
197,46.655338,24.262405,32.649155,13.941400,108,30.000000,0.056017,1.220119
198,47.480961,26.798824,32.928837,14.772476,108,30.194444,0.056180,1.222116
199,48.013210,26.272738,32.317993,13.889110,108,30.333333,0.053265,1.225173
200,45.688141,25.957592,30.939156,14.127946,108,29.759259,0.054392,1.225849
201,46.693947,25.352396,31.700583,12.687288,108,29.500000,0.049896,1.226708
202,47.286156,26.768337,31.816538,14.889202,108,29.574074,0.050486,1.220945
203,47.310955,25.330906,30.851187,12.433962,108,30.250000,0.050548,1.218216
204,47.464424,24.869411,30.743269,12.319546,108,30.166667,0.057461,1.218729
205,47.748608,25.584131,30.334215,12.760712,108,30.509259,0.058420,1.223403
206,46.521290,24.855333,31.757805,13.952001,108,30.842593,0.052109,1.224294
207,47.956707,24.230854,32.241188,15.101992,108,31.120370,0.055018,1.223834
208,47.097466,26.248810,32.554134,15.497857,108,30.407407,0.054635,1.223028
209,46.034473,24.494175,30.076111,12.230037,108,30.037037,0.053974,1.219255
210,46.693935,28.130966,31.447128,18.952686,108,30.787037,0.052731,1.216898
211,49.142311,27.096151,31.962687,15.569151,108,30.277778,0.055563,1.222148
212,46.553486,27.096653,30.802359,14.953937,108,30.500000,0.057252,1.228040
213,45.564655,24.647682,30.118076,15.276520,108,30.935185,0.056869,1.227651
214,45.332844,22.766018,30.586325,11.154132,108,31.148148,0.058449,1.225302
215,44.826237,22.897434,29.577808,11.755473,108,30.398148,0.056386,1.228877
216,44.811882,23.291573,28.867884,10.875651,108,30.740741,0.056153,1.232991
217,47.097866,25.125576,29.742912,11.592412,108,29.333333,0.052319,1.232802
218,48.589180,27.810194,33.316025,18.389704,108,29.296296,0.050434,1.231166
219,48.090096,29.878035,32.905037,21.789440,108,29.879630,0.049860,1.225284
220,47.039799,27.111084,30.944567,13.091062,108,30.092593,0.051462,1.224375
221,45.322300,25.008829,29.892967,12.044994,108,30.564815,0.052448,1.225406
222,46.890537,25.038687,31.701296,14.337380,108,31.574074,0.051471,1.226106
223,48.818939,26.220314,32.059448,14.876706,108,32.351852,0.051444,1.223808
224,46.070721,24.420855,31.280216,13.827399,108,31.722222,0.053790,1.215261
225,47.868355,25.602655,30.369278,12.100526,108,32.101852,0.052903,1.210014
226,47.616318,27.958681,30.166227,12.041234,108,31.768519,0.051124,1.209726
227,49.342068,28.690435,31.847376,13.471658,108,31.574074,0.058388,1.214658
228,47.818569,28.795715,30.214184,11.450658,108,30.675926,0.058972,1.216028
229,47.878811,27.305014,30.764013,14.425434,108,30.629630,0.053104,1.211881
230,48.374504,27.319874,30.177233,12.811112,108,30.212963,0.058111,1.205399
231,47.286617,26.912741,31.688292,13.438884,108,30.212963,0.055121,1.206591
232,47.755535,27.282991,31.647190,12.932475,108,30.101852,0.054655,1.209605
233,47.663361,32.963127,31.132690,14.568886,108,30.564815,0.051811,1.215991
234,48.945549,28.584904,31.860741,13.184837,108,30.666667,0.055329,1.221933
235,48.600143,29.261488,31.573179,13.739488,108,30.574074,0.051576,1.223651
236,45.691654,23.857870,30.664003,11.838374,108,30.259259,0.052166,1.226055
237,46.759113,24.451401,31.399317,15.739668,108,29.824074,0.058342,1.226245
238,49.430008,29.559206,31.170338,12.591093,108,29.435185,0.053466,1.232144
239,49.734894,28.748880,31.049837,12.891198,108,29.712963,0.054031,1.232942
240,46.955330,24.276909,30.510508,12.621969,108,30.166667,0.054506,1.233965
241,48.214321,26.949358,31.085838,13.091990,108,31.333333,0.053482,1.231891
242,48.037994,27.657000,30.620771,14.107020,108,31.842593,0.056869,1.232184
243,48.629692,25.914425,31.261400,14.157397,108,31.972222,0.054367,1.233629
244,47.917877,27.602459,30.034487,12.312249,108,31.731481,0.046249,1.233542
245,48.904514,29.357620,32.504749,19.650192,108,30.833333,0.051614,1.233566
246,48.997318,27.715742,31.516472,13.297645,108,29.740741,0.049631,1.230882
247,48.530365,28.527840,31.400846,14.561225,108,29.296296,0.049971,1.226760
248,46.297359,25.735498,31.476637,14.482196,108,29.657407,0.052466,1.224408
249,45.807316,25.732435,31.418642,16.682320,108,29.796296,0.050877,1.222650
250,45.742893,24.046192,30.439671,11.796669,108,30.037037,0.054010,1.222251
251,46.774952,25.690290,30.780800,12.683652,108,30.842593,0.053849,1.219792
252,48.383980,28.093103,32.151306,15.541634,108,31.296296,0.055077,1.210794
253,49.204483,27.105766,32.274506,13.377866,108,30.611111,0.055252,1.207424
254,48.806049,27.859940,31.376913,14.029609,108,30.574074,0.062085,1.208502
255,49.188564,27.136719,31.376242,12.091217,108,30.935185,0.058355,1.214547
256,48.451191,25.532337,32.338200,13.331692,108,30.490741,0.056712,1.221257
257,48.716747,25.388018,30.987589,11.926620,108,29.953704,0.058884,1.223147
258,47.585800,27.457191,29.545467,11.093489,108,30.324074,0.057185,1.218661
259,46.386368,24.342421,30.655491,12.013053,108,30.583333,0.051516,1.215483
260,48.711338,24.601070,32.924389,14.904428,108,30.148148,0.052867,1.221271
261,49.554241,26.851631,32.613556,18.048216,108,30.129630,0.053685,1.223484
262,49.179932,26.127495,33.366501,17.330803,108,31.083333,0.057242,1.232570
263,47.509502,26.692204,31.802603,13.571574,108,31.231481,0.059626,1.232448
264,49.222290,25.547457,32.211754,13.205459,108,30.407407,0.056676,1.230000
265,48.211445,25.089521,32.565353,13.749833,108,30.175926,0.059887,1.228965
266,46.224277,23.991316,31.098949,13.181994,108,29.694444,0.056559,1.230745
267,47.539967,24.049940,31.673922,14.546072,108,28.935185,0.054665,1.230266
268,49.173363,27.282215,32.370674,15.566362,108,28.777778,0.053791,1.228337
269,48.058155,25.952698,32.105427,14.290697,108,29.416667,0.052404,1.225249
270,51.839935,33.184799,34.736092,23.721201,108,31.083333,0.056751,1.224388
271,48.653297,28.485994,32.759777,17.242514,108,32.120370,0.057885,1.225661
272,47.735912,26.322124,31.630978,12.620989,108,32.333333,0.056871,1.229448
273,46.910732,24.872086,31.291677,12.556846,108,32.750000,0.053962,1.230561
274,47.160297,26.488392,31.799364,14.371538,108,32.694444,0.055683,1.226942
275,46.460491,24.161919,31.433626,13.060694,108,31.518519,0.054730,1.222700
276,44.988041,22.973923,30.396183,12.383272,108,30.611111,0.054710,1.226248
277,47.912746,24.290596,32.595070,13.288130,108,30.435185,0.056819,1.226378
278,47.546535,25.003086,32.253147,12.267118,108,30.268519,0.057264,1.227411
279,48.023460,26.213703,32.455795,14.098510,108,30.407407,0.057092,1.223164
280,46.569904,25.712870,31.413790,12.794012,108,31.046296,0.054472,1.220712
281,47.611130,26.566914,30.846113,11.811229,108,31.351852,0.053069,1.219301
282,48.264133,25.228214,31.752260,11.966623,108,31.351852,0.053082,1.217610
283,47.833073,25.479774,31.593016,14.777980,108,30.083333,0.055495,1.215759
284,47.527229,26.027765,30.611460,14.169145,108,29.305556,0.054994,1.217314
285,47.533218,25.457975,31.122644,13.761621,108,28.537037,0.055628,1.214718
286,48.166836,25.916267,32.847198,16.632378,108,27.990741,0.053049,1.218944
287,47.738552,25.907457,32.263569,16.339617,108,28.351852,0.055605,1.219688
288,47.536942,25.963531,32.175453,16.554974,108,29.851852,0.065612,1.223163
289,47.805412,25.562454,32.536770,17.222990,108,30.712963,0.065627,1.223768
290,47.894684,27.366360,32.325024,17.488630,108,31.629630,0.056919,1.221487
291,49.004890,28.445293,31.819304,15.743570,108,32.333333,0.055841,1.222878
292,48.703377,26.716614,32.197559,15.711319,108,32.138889,0.056872,1.225271
293,46.859268,27.436712,31.782070,15.033634,108,32.277778,0.052927,1.225021
294,45.295074,25.236322,31.152693,13.365032,108,31.805556,0.057419,1.225301
295,48.184807,27.252226,32.857121,13.434992,108,33.055556,0.064232,1.225529
296,48.339069,27.218231,34.059177,17.508257,108,32.398148,0.072818,1.227191
