seq_idx,frame_idx,mpjpe,pampjpe,mmwave_points,loc_err,centroid_err,gt_jerk,pred_jerk,gt_flip,pred_flip,gt_lidar_dist,pred_lidar_dist
791,219,141.560532,31.283274,20,nan,1.159627,0.020905,0.023457,0.117647,0.176471,0.128095,0.068322
791,199,141.557312,42.958729,46,nan,1.164409,0.013799,0.027590,0.058824,0.117647,0.099266,0.062901
791,173,141.476486,31.709526,32,nan,1.162149,0.018652,0.033901,0.117647,0.058824,0.083272,0.056277
791,12,141.457092,31.509462,22,nan,1.166099,0.014900,0.024195,0.000000,0.000000,0.130261,0.071493
791,78,141.421555,36.236969,21,nan,1.062020,0.026110,0.028448,0.411765,0.058824,0.057690,0.081554
791,222,141.382996,38.325047,28,nan,1.164550,0.034183,0.048056,0.882353,0.823529,0.128522,0.066831
791,147,141.360916,39.196648,36,nan,1.166541,0.020425,0.031973,0.176471,0.235294,0.107104,0.064642
791,192,141.354492,32.904789,29,nan,1.163067,0.024287,0.018610,0.176471,0.000000,0.123006,0.059694
791,130,141.273315,36.437641,26,nan,1.048877,0.014473,0.033709,0.058824,0.058824,0.062456,0.085155
791,278,141.271973,38.232517,36,nan,1.164676,0.008866,0.034971,0.000000,0.235294,0.104888,0.057386
791,172,141.249786,26.161613,34,nan,1.166156,0.018404,0.034452,0.235294,0.235294,0.093647,0.054392
791,35,141.225021,33.514492,32,nan,1.162998,0.012434,0.025534,0.000000,0.117647,0.108465,0.057707
1070,0,141.085587,51.083355,22,nan,1.167851,nan,nan,nan,nan,0.069552,0.067753
791,141,140.781357,30.898973,23,nan,1.161792,0.018946,0.034730,0.000000,0.117647,0.128571,0.061448
805,190,140.646683,33.402069,40,nan,1.240638,0.044166,0.043888,0.000000,0.117647,0.103581,0.048002
791,104,140.622482,41.067230,19,nan,1.056849,0.025639,0.059876,0.176471,1.000000,0.046794,0.096167
791,93,140.461792,33.154915,38,nan,1.165519,0.019286,0.016786,0.411765,0.058824,0.122565,0.067596
791,116,140.439529,28.972218,11,nan,1.168973,0.021258,0.026213,0.235294,0.235294,0.129240,0.069562
791,121,140.380676,34.902603,41,nan,1.168791,0.017672,0.021278,0.117647,0.000000,0.101053,0.057920
805,270,140.313721,28.950254,35,nan,1.241065,0.031755,0.040267,0.000000,0.117647,0.107085,0.045362
791,183,139.856964,38.445744,21,nan,1.058684,0.032837,0.029310,0.705882,0.941176,0.054859,0.086761
315,284,139.800156,57.911568,19,nan,1.076816,0.034234,0.051080,0.000000,0.117647,0.130054,0.123358
791,165,139.729416,25.633297,28,nan,1.162318,0.008672,0.026546,0.000000,0.117647,0.112848,0.052077
791,20,139.628052,37.983425,40,nan,1.152657,0.017973,0.043785,0.058824,0.294118,0.077690,0.067803
791,211,139.594284,44.522018,32,nan,1.098153,0.014028,0.039221,0.058824,0.117647,0.056320,0.086729
791,125,139.561691,35.246044,32,nan,1.119714,0.011045,0.040990,0.000000,0.058824,0.061291,0.072491
791,94,139.358200,32.505753,40,nan,1.165827,0.018860,0.012932,0.352941,0.117647,0.117133,0.064390
791,226,139.323212,32.096035,31,nan,1.162572,0.014858,0.034288,0.117647,0.000000,0.100913,0.058370
791,164,139.272552,31.444374,35,nan,1.152077,0.012965,0.034380,0.000000,0.117647,0.103642,0.049923
791,22,139.197021,29.928053,36,nan,1.127594,0.010453,0.028311,0.000000,0.058824,0.063767,0.081204
791,263,139.170868,38.478584,20,nan,1.065534,0.034353,0.037505,0.588235,0.529412,0.055789,0.096657
387,289,139.081635,107.450623,31,nan,1.318573,0.017520,0.022839,0.058824,0.000000,0.072482,0.051277
791,79,139.077057,35.778423,28,nan,1.059455,0.031849,0.042657,0.705882,0.941176,0.061390,0.084331
791,56,139.054047,37.558109,30,nan,1.091990,0.021415,0.045834,0.117647,0.235294,0.054057,0.082722
791,32,138.893051,40.106140,32,nan,1.129295,0.007969,0.025497,0.000000,0.058824,0.069643,0.069015
